طبقه,زیربنا,خواب,تلفن,آشپزخانه,سرویس,کفپوش,OPEN,پارکینگ,انباری,بالکن,غربی,شرقی,شمالی,جنوبی,code
4,41,1,1,MDF,ايرانی,سراميک,1,0,0,1,0,0,0,1,10405345
1,220,4,1,MDF,ايرانی,سراميک,1,0,1,0,0,0,1,1,10296725
2,70,1,1,چوبي فلزي,ايرانی,سراميک,0,0,0,0,0,0,0,1,3996309
4,148,3,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,0,1,10405350
2,88,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,0,0,0,1,0,10201347
1,70,1,1,MDF,ايرانی,سراميک,1,0,1,0,0,0,1,0,10119943
همكف,149,3,2,هایگلاس,ايراني فرنگي,لامنيت,0,0,1,1,0,0,0,0,10405351
3,75,2,1,MDF,ايرانی,سراميک,1,0,1,1,0,0,0,1,10267384
5,116,2,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,0,0,10336063
4,67,2,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,1,0,10405353
1,123,3,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,0,1,10405354
2,150,3,1,چوبي,ايرانی,سراميک,1,0,1,1,0,0,0,1,3947059
1,150,3,1,MDF,ايراني فرنگي,لامنيت,1,0,1,0,0,0,1,0,10405355
3,135,3,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,0,10405357
5,90,2,1,نا مشخص,ايراني فرنگي,سنگ,1,0,1,1,0,0,0,1,10300024
4,231,4,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,0,10301900
1,215,3,1,هایگلاس,فرنگی,سنگ,1,0,1,1,0,0,0,1,10201857
3,53,1,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,1,10242949
1,117,2,0,چوبي,ايراني فرنگي,سنگ,1,0,1,1,0,0,0,1,10271477
1,103,3,1,MDF,ايراني فرنگي,پارکت,1,0,0,0,0,0,0,1,3454956
3,143,3,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,1,0,10405361
3,80,2,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,0,0,10126504
2,65,2,1,MDF,ايرانی,سراميک,1,0,1,0,1,0,0,1,10333859
3,137,3,1,هایگلاس,ايرانی,پارکت,1,0,1,1,0,0,0,1,10127576
زیرهمكف,68,1,1,MDF,ايراني فرنگي,سراميک,1,0,0,0,1,0,0,1,10405378
2,95,2,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,0,1,10354228
5,268,3,2,فايبرگلاس,فرنگی,سنگ,0,0,1,1,0,0,1,0,10405382
8,94,2,1,هایگلاس,ايرانی,پارکت,1,0,1,0,0,0,0,1,10405384
2,148,3,1,چوبي فلزي,ايرانی,پارکت,0,0,0,0,0,1,1,0,10351201
5,97,2,1,MDF,ايرانی,سراميک,1,0,1,1,0,0,0,1,10405398
4,45,1,1,MDF,ايرانی,سنگ,1,0,1,0,1,0,0,1,10265663
3,80,2,1,هایگلاس,ايرانی,سراميک,1,0,1,1,0,0,1,0,10405402
2,90,2,2,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,1,0,0,10405403
2,236,3,1,MDF,ايرانی,سراميک,0,0,1,0,0,0,1,0,10405406
5,220,4,1,MDF,ايراني فرنگي,سنگ,1,0,1,0,0,0,1,0,10334947
4,144,3,1,MDF,ايراني فرنگي,سنگ,1,0,1,0,0,0,1,0,10335086
5,145,3,1,MDF,ايراني فرنگي,پارکت,1,0,1,1,0,0,0,1,10335073
4,140,3,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,1,1,10334313
3,128,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,1,10187253
1,125,3,1,دلخواه,ايراني فرنگي,سنگ,1,0,1,0,0,0,1,0,10258633
4,110,2,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,0,1,10405411
3,164,2,1,هایگلاس,ايراني فرنگي,سنگ,1,0,1,0,0,0,0,1,10119249
4,93,2,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,0,0,10405413
4,85,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,1,10405415
4,105,2,1,MDF,ايرانی,سراميک,1,0,1,1,0,0,0,0,10405416
5,135,3,1,MDF,ايراني فرنگي,سنگ,1,0,1,0,0,0,1,0,10247139
2,155,3,1,هایگلاس,ايراني فرنگي,سنگ,1,0,1,1,0,0,1,1,10266957
3,100,2,1,MDF,ايرانی,سراميک,1,0,1,1,0,0,1,0,10262233
2,68,2,1,نا مشخص,ايراني فرنگي,سنگ,1,0,1,1,0,0,1,0,10405425
4,72,2,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,0,1,10405426
1,143,3,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,0,1,3907219
4,150,3,1,چوبي,ايرانی,سراميک,1,0,1,1,1,0,0,1,10334098
5,110,2,1,نا مشخص,ايراني فرنگي,سراميک,1,0,1,1,0,0,1,0,10336452
3,245,3,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,1,0,3076868
4,115,3,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,0,1,10395353
3,64,1,1,MDF,فرنگی,پارکت,1,0,1,1,0,0,0,0,10405430
همكف,95,2,1,MDF,ايراني فرنگي,پارکت سنگ,1,0,1,1,0,0,1,0,10298151
1,120,3,1,MDF,ايراني فرنگي,پارکت سنگ,1,0,1,1,0,0,1,0,10250389
1,279,4,2,MDF,ايراني فرنگي,پارکت سنگ,1,0,1,1,0,0,1,0,10128304
3,154,3,1,MDF,ايراني فرنگي,پارکت,1,0,1,1,0,0,0,1,10051296
4,152,3,1,چوبي,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,1,10353692
5,102,3,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,0,1,10353709
1,190,3,1,MDF,ايراني فرنگي,پارکت,1,0,1,1,0,0,1,0,10186980
1و2,90,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,0,0,0,1,0,10253298
1,107,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,0,0,0,0,0,10261596
4,180,3,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,1,0,10268966
همكف,167,3,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,1,0,10335360
11,110,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,0,0,0,1,0,10332746
5,125,3,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,0,0,10180820
12,102,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,0,0,0,0,1,10405435
2,118,2,1,MDF,ايراني فرنگي,پارکت,1,0,0,1,0,0,0,1,10245411
3,205,3,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,1,0,0,0,10405440
1,76,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,1,10353428
1,70,2,1,هایگلاس,فرنگی,سراميک,1,0,1,1,0,0,0,0,10353152
3,130,2,1,MDF,ايرانی,سراميک,1,0,1,1,0,0,0,1,10243019
1,107,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,1,0,10204124
1,70,2,1,MDF,ايرانی,سراميک,1,0,1,1,0,0,0,1,10405443
5,278,4,1,هایگلاس,ايراني فرنگي,سنگ,1,0,1,1,0,0,1,1,10300960
6,134,3,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,1,0,3498054
2,117,3,1,MDF,ايرانی,سنگ,1,0,1,1,0,0,0,1,3499793
4,92,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,1,10405446
2,72,2,1,MDF,ايرانی,کفپوش,1,0,1,1,0,0,1,0,10332550
3,76,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,0,0,0,1,0,10405447
3,75,2,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,1,0,1,0,10133878
4,153,3,1,هایگلاس,ايراني فرنگي,سراميک,1,0,1,1,0,0,1,0,10145774
3,60,1,1,MDF,ايرانی,سراميک,1,0,0,1,1,0,0,0,10405449
4,51,1,1,MDF,ايرانی,سراميک,1,0,1,1,0,0,0,0,10150112
2,95,2,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,1,1,0,0,10269085
2,85,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,1,0,10185698
1,113,2,1,هایگلاس,ايراني فرنگي,سنگ,1,0,1,1,0,1,0,0,10205600
3,107,2,1,MDF,ايراني فرنگي,پارکت,1,0,1,0,0,0,1,0,10332583
4,155,3,1,MDF,ايراني فرنگي,سراميک,1,0,1,0,0,0,1,0,10334353
4,49,1,1,MDF,ايرانی,پارکت,1,0,1,0,0,0,1,0,10334603
3,79,2,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,0,1,10405456
2,40,1,1,MDF,فرنگی,نا مشخص,1,0,0,0,0,0,0,1,10405457
4,155,3,1,MDF,ايرانی,سراميک,1,0,1,1,0,0,1,1,10405458
3,60,2,1,MDF,ايرانی,سراميک,1,0,0,0,0,0,0,1,10405459
2,90,2,1,MDF,ايراني فرنگي,سراميک,1,0,0,1,0,0,0,0,10405462
2,74,1,,MDF,ايراني فرنگي,سراميک,0,0,0,1,0,0,0,1,10206753
3,105,2,1,MDF,ايرانی,سراميک,1,0,1,0,0,0,0,1,10405465
4,83,2,یك,MDF,ايرانی,سراميک,1,0,0,0,0,0,0,1,10297753
2,124,3,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,1,10405471
4,120,2,1,MDF,ايراني فرنگي,سراميک,0,0,1,0,0,1,0,0,10002761
5,111,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,1,10119065
همكف,70,2,1,MDF,ايرانی,سراميک,1,0,1,1,0,0,0,0,10125238
4,90,2,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,0,1,10204721
